checkpoint,weight_gap,embedding_similarity,gradient_ratio,training_path_prob,entropy,edge_prediction_auc,path_validity_score
0,0.0002768441700027324,0.002409552958782722,1.1854551517627467,0.025546036707237364,0.0,0.5271140586094618,0.030593856990291803
20000,0.09266810026019812,-0.0014746467169876834,1.8215067757456502,1.830108035392186e-05,0.0,0.791872575588501,7.632142415000843
40000,0.10451949108392,0.00399468885204034,2.1088739464575963,1.5932691494526806e-05,0.0,0.8557176258037091,9.405054747043621
60000,0.11439685523509979,0.01163821420473378,2.1097161143650798,2.767236742101886e-05,0.0,0.789846408534903,8.70879595503211
80000,0.1207018494606018,0.019843359462971905,1.993352090333464,2.3463639986402996e-05,0.0,0.800273130761352,9.564406518524851
100000,0.12325285375118256,0.028072405608734422,2.1358691204340814,2.338462933039409e-05,0.0,0.8081395348837209,8.357678795103686
120000,0.1229221522808075,0.03562727817975765,2.104172028887502,2.6629999938450054e-05,0.0,0.8205356190205214,8.87256558309902
140000,0.12055288255214691,0.042048757397477696,2.2166552795744416,2.701567245367187e-05,0.0,0.7784646739130435,8.842326291374043
160000,0.11624366044998169,0.047035555591917855,2.1881821140407665,2.5750979777967585e-05,0.0,0.8248711408682713,9.718785592503846
180000,0.11190323531627655,0.05062543071418549,1.9171270669375884,3.211194344657997e-05,0.0,0.8146805223285486,9.94350917886959
200000,0.10796795785427094,0.05324751582000163,2.0407053554369683,2.4585283422311478e-05,0.0,0.8239366267535282,9.872692983374344
