iteration,avg_attention_entropy,avg_attention_sparsity
135000,0.12741095,1.44
136000,0.12758838,1.44
137000,0.12695123,1.46
138000,0.16795988,1.52
139000,0.13707393,1.48
140000,0.14989744,1.52
141000,0.14477435,1.46
142000,0.16751172,1.54
143000,0.15911548,1.5
144000,0.1617863,1.54
145000,0.16366382,1.5
146000,0.16184363,1.58
147000,0.17241398,1.54
148000,0.18510294,1.58
149000,0.19382791,1.58
150000,0.27763566,2.1
151000,0.24470529,2.1
152000,0.27541548,2.08
153000,0.4334811,2.14
154000,0.43987238,2.12
155000,0.36122593,2.1
