iteration,delta_iter,wte_delta_norm,wte_relative_change,wpe_delta_norm,wpe_relative_change,ln_1_delta_norm,ln_1_relative_change,c_attn_delta_norm,c_attn_relative_change,c_proj_delta_norm,c_proj_relative_change,ln_2_delta_norm,ln_2_relative_change,c_fc_delta_norm,c_fc_relative_change,ln_f_delta_norm,ln_f_relative_change,lm_head_delta_norm,lm_head_relative_change
136000,1000,0.1839245,0.006481724068290428,0.07565019,0.01625745678825688,0.02387266,0.002742249261629326,0.3596179,0.042682493860843315,0.32971922,0.03572744413244954,0.049425147,0.0018288591277420443,0.395534,0.03840118154581503,0.013735859,0.0008053934899720307,0.1839245,0.006481724068290428
137000,1000,0.19398177,0.006824020789656286,0.06800169,0.01461842101985738,0.025411999,0.0029131758962997285,0.36152607,0.04304375574241997,0.32741597,0.03563932860851999,0.048447546,0.0017896125600516551,0.3924038,0.03824677383258501,0.015549026,0.0009112421246272828,0.19398177,0.006824020789656286
138000,1000,0.18563704,0.0065164548209380975,0.068242505,0.014662228699415537,0.024608744,0.0028143975273008837,0.3535503,0.04216266547309072,0.31371194,0.03429881867635673,0.04779869,0.001762720321767663,0.3850916,0.03767779008252486,0.013756422,0.0008057543291648752,0.18563704,0.0065164548209380975
139000,1000,0.1838134,0.0064370604191560975,0.06286927,0.013510016034336807,0.025054367,0.0028592660420381456,0.3515752,0.04207023549977731,0.31438306,0.0345200497199198,0.047396883,0.0017450314067199988,0.37654883,0.036979804136713486,0.013934476,0.0008157542297377711,0.1838134,0.0064370604191560975
140000,1000,0.18355519,0.006415494633145104,0.06896234,0.014835998229200766,0.021552447,0.0024540266069964555,0.33297685,0.03995934966068702,0.31189442,0.03439511985043032,0.04622796,0.001699203603471807,0.37084237,0.036550357815081425,0.014332016,0.0008385669385677024,0.18355519,0.006415494633145104
141000,1000,0.18197103,0.006346570876119108,0.069250114,0.014902127741852969,0.024118097,0.0027412682731338114,0.32172686,0.03872973230032896,0.306752,0.033976942240408044,0.04487003,0.001646687060596565,0.36731747,0.03633907064932098,0.014662271,0.0008574134854749413,0.18197103,0.006346570876119108
142000,1000,0.16075668,0.005596595462887943,0.067022495,0.014440256470382157,0.023617089,0.0026788412796736353,0.32153305,0.03882012377960992,0.29703477,0.03304106662299636,0.044106193,0.0016161778937373121,0.3537473,0.03512894649240787,0.014059049,0.0008217049343547283,0.16075668,0.005596595462887943
143000,1000,0.16766644,0.005827667235261548,0.06282352,0.01352833526353568,0.021260874,0.002406574017682918,0.32823297,0.039708727053034826,0.30070928,0.033596958947127824,0.043952953,0.0016081214614964649,0.35553044,0.03543951400883854,0.013939669,0.0008142753484343722,0.16766644,0.005827667235261548
144000,1000,0.20102222,0.006974897434988445,0.06731893,0.014500232219138364,0.023699783,0.0026777463774785687,0.31892028,0.03871657772759631,0.29257956,0.032827465918753414,0.04200173,0.001534453523800717,0.3516509,0.035181328273767666,0.013511911,0.0007888812159549672,0.20102222,0.006974897434988445
145000,1000,0.16304281,0.005644566641312723,0.064072855,0.013809534732937353,0.02373956,0.0026761475525144164,0.31609678,0.03844466204422821,0.2889991,0.032562926607047675,0.040301617,0.001470253616925981,0.34896603,0.03504293401636014,0.013569524,0.0007918229498147715,0.16304281,0.005644566641312723
146000,1000,0.1626226,0.005620130153577002,0.06342825,0.013679302565992256,0.02131194,0.0023972295298573844,0.30103734,0.03670546834104786,0.28275332,0.03199264770496685,0.042057086,0.0015321925714797862,0.3398842,0.03426089193256271,0.014949041,0.0008718371246975794,0.1626226,0.005620130153577002
147000,1000,0.17408554,0.00600630006045785,0.064954095,0.013999708850091806,0.020135524,0.002260639259072453,0.2943711,0.03598348872172668,0.27765012,0.03154734385729054,0.038041763,0.0013839019949785268,0.33037397,0.03341832256178457,0.013478761,0.0007856137965694111,0.17408554,0.00600630006045785
148000,1000,0.16531853,0.005693099020115011,0.062489472,0.013487517024554837,0.02143743,0.002402523916775448,0.2938526,0.036020635174395126,0.27568007,0.03145901737089085,0.037477277,0.0013615978755105627,0.32675698,0.03317603004119381,0.013342128,0.0007772091308155332,0.16531853,0.005693099020115011
149000,1000,0.16058157,0.005521287408088276,0.07129777,0.015391854845047116,0.020054365,0.0022432448969643528,0.28666526,0.03522528410009226,0.26750678,0.030652869165101484,0.037978288,0.0013780243682641141,0.32020202,0.032631149392122964,0.013086221,0.000761888365305188,0.16058157,0.005521287408088276
150000,1000,0.15122193,0.005189621033519179,0.058076594,0.01253929177012127,0.01960926,0.002189503569788941,0.2875967,0.03543648039974533,0.26279703,0.03024167823376221,0.03558973,0.0012897131161343906,0.31214517,0.031923770378488425,0.014950578,0.0008699780959466616,0.15122193,0.005189621033519179
151000,1000,0.1648911,0.005650137226450186,0.053991396,0.01166627862424911,0.019253137,0.0021459142271758208,0.27859896,0.034398253163891224,0.26535285,0.030661925560291858,0.0365508,0.0013229542985668122,0.31137538,0.03196497915768928,0.013145268,0.000764470733360802,0.1648911,0.005650137226450186
152000,1000,0.16458145,0.005630178618473964,0.055968814,0.0120996061455585,0.01822899,0.002028300893164448,0.27250895,0.03373820206274161,0.25603557,0.029703672165689893,0.034676716,0.001253548567920547,0.30325156,0.03124023685075614,0.013479873,0.0007835000140363627,0.16458145,0.005630178618473964
153000,1000,0.1499758,0.00512111961791153,0.06062514,0.013117972019499699,0.020427741,0.002269384934098302,0.27449515,0.03408923715349096,0.25180608,0.029336168926400865,0.035180513,0.001270282696171261,0.30073428,0.031092583060218514,0.012555263,0.0007293278964596412,0.1499758,0.00512111961791153
154000,1000,0.15866682,0.005409794594728125,0.0557519,0.012061614258732468,0.019201608,0.0021291304522922812,0.26135987,0.03253176094713235,0.24853948,0.02907455121193896,0.033576626,0.0012109508274485048,0.29799068,0.030918131786360763,0.013891912,0.0008065492109201201,0.15866682,0.005409794594728125
155000,1000,0.15671092,0.0053337392992737305,0.054004118,0.011684762761996025,0.019125454,0.002117161228765824,0.2563872,0.03198372084786453,0.24631646,0.02893138234873898,0.0345795,0.0012457180325353549,0.28804538,0.02999111880853516,0.011999926,0.0006962736157941066,0.15671092,0.0053337392992737305
